N/A,Pinyin,Definition,Radical,stroke_count,hsk_level,id_in_standard_specification,frequency_rank,converted_pinyin,raw_pinyin
密,mì,dense/thick/close/intimate,宀,11,4,2458,591.0,mi4,mi
低,dī,low/to lower/hang/bend/bow,人,7,4,781,592.0,di1,di
止,zhǐ,stop/halt/desist/detain,止,4,4,109,596.0,zhi3,zhi
细,xì,fine/tiny/slender/thin,糸,8,4,1340,597.0,xi4,xi
值,zhí,price,人,10,4,1956,600.0,zhi2,zhi
仍,réng,yet/still/as ever/again/keep -ing/continuing,人,4,4,135,601.0,reng2,reng
破,pò,break/ruin/destroy/rout,石,10,4,1867,604.0,po4,po
倒,dào,fall over/lie down/take turns,人,10,4,1960,608.0,dao3,dao
职,zhí,duty/profession/office/post,耳,11,4,2192,616.0,zhi2,zhi
速,sù,quick/prompt/speedy,辵,10,4,1853,617.0,su4,su
否,fǒu,not/no/negative/final particle,口,7,4,703,620.0,fou3,fou
毛,máo,hair/fur/feathers/coarse,毛,4,4,123,623.0,mao2,mao
甚,shén,great extent/considerably,甘,9,4,1400,626.0,shen2,shen
普,pǔ,universal/general/widespread,日,12,4,2741,630.0,pu3,pu
弹,dàn,pellet/bullet/shot/shell,弓,11,4,2473,632.0,dan4,dan
苦,kǔ,bitter/hardship/suffering,艸,8,4,999,634.0,ku3,ku
印,yìn,print/seal/stamp/chop/mark,卩,5,4,285,640.0,yin4,yin
预,yù,prepare/arrange/in advance,頁,10,4,2148,647.0,yu4,yu
微,wēi,small/prefix micro-/trifling,彳,13,4,2965,653.0,wei1,wei
继,jì,continue/maintain/carry on,糸,10,4,2153,655.0,ji4,ji
惊,jīng,frighten/surprise/startle,心,11,4,2445,659.0,liang2,liang
伤,shāng,wound/injury/fall ill from,人,6,4,468,660.0,shang1,shang
适,shì,go/reach/appropriate/suitable,辵,9,4,1546,663.0,shi4,gua
省,shěng,province/save/economize,目,9,4,1474,666.0,sheng3,sheng
卫,wèi,guard/protect/defend,乙,3,4,65,669.0,wei4,wei
险,xiǎn,narrow pass/strategic point,阜,9,4,1733,672.0,xian3,xian
排,pái,row/rank/line,手,11,4,2168,682.0,pai2,pai
福,fú,happiness/good fortune/blessing,示,13,4,3033,683.0,fu2,fu
警,jǐng,guard/watch/alert/alarm,言,19,4,3453,687.0,jing3,jing
获,huò,obtain/get/receive/seize,艸,10,4,1827,688.0,huo4,huo
负,fù,load/burden/carry/bear,貝,6,4,503,691.0,fu4,fu
云,yún,say/speak/clouds,二,4,4,82,692.0,yun2,yun
停,tíng,stop/suspend/delay/suitable,人,11,4,2333,693.0,ting2,ting
疑,yí,doubt/question/suspect,疋,14,4,3136,698.0,yi2,yi
洲,zhōu,continent/island/islet,水,9,4,1680,701.0,zhou1,zhou
竟,jìng,finally/after all/at last,立,11,4,2390,706.0,jing4,jing
激,jī,arouse/excite/incite/quickly,水,16,4,3379,710.0,ji1,ji
演,yǎn,perform/put on/exercise,水,14,4,3167,715.0,yan3,yan
判,pàn,judge/discriminate/conclude,刀,7,4,849,719.0,pan4,pan
既,jì,already/de facto/since/then,无,9,4,1721,724.0,ji4,ji
积,jī,accumulate/store up/amass,禾,10,4,1945,728.0,ji1,ji
富,fù,abundant/ample/rich/wealthy,宀,12,4,2781,733.0,fu4,fu
占,zhàn,divine/observe/versify,卜,5,4,228,737.0,zhan1,zhan
修,xiū,study/repair/cultivate,人,9,4,1560,740.0,xiu1,xiu
降,jiàng,descend/fall/drop/lower/down,阜,8,4,1321,744.0,jiang4,jiang
坚,jiān,hard/strong/firm/resolute,土,7,4,712,748.0,jian1,jian
免,miǎn,spare/excuse from/evade,儿,7,4,810,755.0,mian3,mian
压,yā,press/oppress/crush/pressure,厂,6,4,385,756.0,ya1,ya
养,yǎng,raise/rear/bring up/support,八,9,4,1641,760.0,yang3,yang
怀,huái,bosom/breast/carry in bosom,心,7,4,873,762.0,huai2,huai
乱,luàn,confusion/state of chaos/revolt,乙,7,4,762,765.0,luan4,luan
航,háng,sail/navigate/ship/boat,舟,10,4,1981,773.0,hang2,hang
优,yōu,superior/excellent/actor,人,6,4,461,774.0,you1,you
著,zhe,manifest/(Cant.) to wear,艸,11,4,2198,777.0,zhu4,zhu
份,fèn,portion/part/duty,人,6,4,471,784.0,fen4,fen
艺,yì,art/talent/ability/craft,艸,4,4,86,786.0,yi4,yi
概,gài,generally/approximately,木,13,4,2871,791.0,gai4,gai
敢,gǎn,to dare/venture/bold/brave,攴,11,4,2470,795.0,gan3,gan
户,hù,door/family,戶,4,4,170,801.0,hu4,hu
洋,yáng,ocean/sea/foreign/western,水,9,4,1679,803.0,yang2,yang
款,kuǎn,item/article/clause/fund,欠,12,4,2508,807.0,kuan3,kuan
评,píng,appraise/criticize/evaluate,言,7,4,887,809.0,ping2,ping
座,zuò,seat/stand/base,广,10,4,2025,812.0,zuo4,zuo
释,shì,interprete/elucidate/release,釆,12,4,2710,813.0,shi4,shi
景,jǐng,scenery/view/conditions,日,12,4,2626,814.0,jing3,jing
登,dēng,rise/mount/board/climb,癶,12,4,2813,817.0,deng1,deng
货,huò,goods/commodities/products,貝,8,4,1151,818.0,huo4,huo
互,hù,mutually/reciprocally,二,4,4,106,819.0,hu4,hu
付,fù,give/deliver/pay/hand over/entrust,人,5,4,269,820.0,fu4,fu
危,wēi,dangerous/precarious/high,卩,6,4,499,826.0,wei1,wei
讨,tǎo,to discuss/ask for/beg/demand/dun/marry,言,5,4,315,833.0,tao3,tao
丽,lì,beautiful/magnificent/elegant,丶,7,4,699,834.0,li4,li
序,xù,series/serial order/sequence,广,7,4,840,836.0,xu4,xu
永,yǒng,long/perpetual/eternal/forever,水,5,4,324,842.0,yong3,yong
呼,hū,breathe sigh/exhale/call/shout,口,8,4,1099,843.0,hu1,hu
味,wèi,taste/smell/odor/delicacy,口,8,4,1078,844.0,wei4,wei
沙,shā,sand/gravel/pebbles/granulated,水,7,4,860,848.0,sha1,sha
掉,diào,turn/move/shake/wag/drop down,手,11,4,2170,849.0,diao4,diao
杂,zá,mixed/blended/mix/mingle,木,6,4,498,853.0,za2,za
误,wù,err/make mistake/interfere,言,9,4,1714,854.0,wu4,wu
减,jiǎn,decrease/subtract/diminish,冫,11,4,2375,857.0,jian3,jian
肯,kěn,willing/consent to/permit,肉,8,4,1067,860.0,ken3,ken
败,bài,be defeated/decline/fail,貝,8,4,1113,862.0,bai4,bai
梦,mèng,dream/visionary/wishful,木,11,4,2221,865.0,meng4,meng
散,sàn,scatter/disperse/break up,攴,12,4,2546,866.0,san4,san
温,wēn,lukewarm,水,12,4,2757,867.0,wen1,wen
困,kùn,to surround/beseige/to be surrounded/difficult,囗,7,4,734,868.0,kun4,kun
封,fēng,letter/envelope/feudal,寸,9,4,1366,871.0,feng1,feng
缺,quē,be short of/lack/gap/deficit,缶,10,4,1935,875.0,que1,que
恐,kǒng,fear/fearful/apprehensive,心,10,4,1810,891.0,kong3,kong
松,sōng,pine tree/fir tree,木,8,4,1026,895.0,song1,song
虑,lǜ,be concerned/worry about,心,10,4,1882,901.0,lv4,lu
幸,xìng,luck(ily)/favor/fortunately,干,8,4,983,902.0,xing4,xing
赶,gǎn,pursue/follow/expel/drive away,走,10,4,1788,908.0,gan3,gan
剧,jù,theatrical plays/opera/drama,刀,10,4,2132,909.0,ju4,ju
叶,yè,to harmonize/to rhyme/to unite/(borrowed for) leaf,口,5,4,238,920.0,ye4,xie
吸,xī,inhale/suck in/absorb/attract,口,6,4,431,924.0,xi1,xi
呀,ya,particle used to express surprise or mild emphasis/(Cant.) slurred form of the number ten,口,7,4,729,929.0,ya1,ya
顺,shùn,obey/submit to/go along with,頁,9,4,1559,938.0,shun4,shun
输,shū,transport/carry/haul,車,13,4,2890,939.0,shu1,shu
招,zhāo,beckon/summon/recruit/levy,手,8,4,988,941.0,zhao1,zhao
脱,tuō,take off,肉,11,4,2360,943.0,tuo1,tuo
油,yóu,oil/fat/grease/lard/paints,水,8,4,1248,948.0,you2,you
材,cái,material/stuff/timber/talent,木,7,4,681,952.0,cai2,cai
博,bó,gamble/play games/wide/broad,十,12,4,2521,965.0,bo2,bo
烟,yān,smoke/soot/opium/tobacco/cigarettes,火,10,4,2062,967.0,yan1,yan
授,shòu,give to/transmit/confer,手,11,4,2177,968.0,shou4,shou
禁,jìn,restrict/prohibit/forbid,示,13,4,2863,986.0,jin4,jin
孙,sūn,grandchild/descendent/surname,子,6,4,570,995.0,sun1,sun
篇,piān,chapter/section/essay/article,竹,15,4,3268,1008.0,pian1,pian
遍,biàn,everywhere/all over/throughout,辵,12,4,2788,1012.0,bian4,bian
础,chǔ,foundation stone/plinth,石,10,4,1866,1014.0,chu3,chu
翻,fān,flip over/upset/capsize,羽,18,4,3445,1027.0,fan1,fan
森,sēn,forest/luxuriant vegetation,木,12,4,2567,1029.0,sen1,sen
默,mò,silent/quiet/still/dark,黑,16,4,3352,1031.0,mo4,mo
熟,shú,well-cooked/ripe/familiar with,火,15,4,3278,1035.0,shu2,shou
伙,huǒ,companion/colleague/utensils,人,6,4,475,1047.0,huo3,huo
弄,nòng,do/play or fiddle with/alley,廾,7,4,600,1053.0,nong4,nong
刀,dāo,knife/old coin/measure,刀,2,4,18,1067.0,dao1,dao
窗,chuāng,window,穴,12,4,2786,1074.0,chuang1,chuang
醒,xǐng,wake up/sober up/startle,酉,16,4,3336,1075.0,xing3,xing
购,gòu,buy/purchase/hire,貝,8,4,1117,1078.0,gou4,gou
虎,hǔ,tiger/brave/fierce/surname,虍,8,4,1071,1083.0,hu3,hu
扬,yáng,scatter/spread/praise,手,6,4,368,1084.0,yang2,yang
毕,bì,end/finish/conclude/completed,比,6,4,409,1093.0,bi4,bi
尤,yóu,especially/particularly,尢,4,4,98,1099.0,you2,you
竞,jìng,contend/vie/compete,立,10,4,2043,1100.0,jing4,jing
弃,qì,reject/abandon/discard,廾,7,4,842,1105.0,qi4,qi
麻,má,hemp/jute/flax/sesame,麻,11,4,2379,1108.0,ma2,ma
申,shēn,to state to a superior/report/extend/9th terrestrial branch,田,5,4,240,1110.0,shen1,shen
售,shòu,sell,口,11,4,2332,1114.0,shou4,shou
针,zhēn,needle/pin/tack/acupuncture,金,7,4,757,1116.0,zhen1,zhen
抱,bào,embrace/hold in arms/enfold,手,8,4,978,1122.0,bao4,bao
鼓,gǔ,drum/beat/top/strike,鼓,13,4,2837,1123.0,gu3,gu
植,zhí,plant/trees/plants/grow,木,12,4,2566,1124.0,zhi2,zhi
页,yè,page/sheet/leaf/rad. no. 181,頁,6,4,393,1128.0,ye4,ye
折,zhé,break off/snap/bend,手,7,4,632,1131.0,zhe2,zhe
尊,zūn,respect/revere/venerate/honor,寸,12,4,2743,1134.0,zun1,zun
秀,xiù,ear of grain/flowering/luxuriant/refined/elegant/graceful,禾,7,4,765,1136.0,xiu4,xiu
染,rǎn,dye/be contagious/infect,木,9,4,1675,1141.0,ran3,ran
迷,mí,bewitch/charm/infatuate,辵,9,4,1647,1153.0,mi2,mi
诚,chéng,sincere/honest/true/real,言,8,4,1291,1154.0,cheng2,cheng
彩,cǎi,hue/color/variegated colors,彡,11,4,2353,1177.0,cai3,cai
抽,chōu,draw out/pull out/sprout,手,8,4,966,1178.0,chou1,chou
浪,làng,wave/wasteful/reckless,水,10,4,2084,1186.0,lang4,lang
丰,fēng,abundant/lush/bountiful/plenty,丨,4,4,74,1189.0,feng1,feng
译,yì,translate/decode/encode,言,7,4,898,1198.0,yi4,yi
距,jù,,足,11,4,2273,1202.0,ju4,ju
符,fú,i.d. tag/tally/symbol/charm,竹,11,4,2321,1205.0,fu2,fu
勇,yǒng,brave/courageous/fierce,力,9,4,1746,1206.0,yong3,yong
厅,tīng,hall/central room,厂,4,4,90,1217.0,ting1,ting
拜,bài,do obeisance/bow/kowtow,手,9,4,1538,1218.0,bai4,bai
巧,qiǎo,skillful/ingenious/clever,工,5,4,197,1219.0,qiao3,qiao
戴,dài,wear on top/support,戈,17,4,3388,1228.0,dai4,dai
童,tóng,child/boy/servant boy/virgin,立,12,4,2735,1229.0,tong2,tong
乘,chéng,ride/ascend/avail oneself of/numerary adjunct for vehicles,丿,10,4,1941,1231.0,cheng2,cheng
挂,guà,hang/suspend/suspense,手,9,4,1365,1232.0,gua4,gua
奖,jiǎng,prize/reward/give award to,大,9,4,1618,1233.0,jiang3,jiang
厚,hòu,thick/substantial/greatly,厂,9,4,1449,1235.0,hou4,hou
镜,jìng,mirror/lens/glass/glasses,金,16,4,3354,1251.0,jing4,jing
烦,fán,bother/vex/trouble/troublesome,火,10,4,2059,1253.0,fan2,fan
签,qiān,sign/endorse/slip of paper,竹,13,4,2953,1254.0,qian1,qian
牌,pái,signboard/placard,片,12,4,2692,1261.0,pai2,pai
咱,zán,we/us,口,9,4,1508,1265.0,zan2,zan
奋,fèn,strive/exert effort/arouse,大,8,4,1051,1268.0,fen4,fen
播,bō,sow/spread/broadcast/cast away/reject,手,15,4,3199,1275.0,bo1,bo
桥,qiáo,bridge/beam/crosspiece,木,10,4,1841,1292.0,qiao2,qiao
寒,hán,cold/wintry/chilly,宀,12,4,2780,1297.0,han2,han
聚,jù,assemble/meet together/collect,耳,14,4,3065,1306.0,ju4,ju
袋,dài,pocket/bag/sack/pouch,衣,11,4,2325,1310.0,dai4,dai
暂,zàn,temporary,日,12,4,2599,1325.0,zan4,zan
估,gū,merchant/estimate/guess/presume,人,7,4,769,1326.0,gu1,gu
拒,jù,ward off with hand/defend,手,7,4,620,1331.0,ju4,ju
忆,yì,remember/reflect upon/memory,心,4,4,167,1333.0,yi4,yi
闹,nào,quarrel/dispute hotly,門,8,4,1228,1336.0,nao4,nao
厉,lì,whetstone/grind/sharpen/whet,厂,5,4,215,1339.0,li4,li
穷,qióng,poor/destitute/impoverished,穴,7,4,882,1343.0,qiong2,qiong
码,mǎ,number/numerals/yard/symbol,石,8,4,1046,1345.0,ma3,ma
偶,ǒu,accidentally/coincidently/an idol,人,11,4,2328,1361.0,ou3,ou
稍,shāo,little/slightly/rather,禾,12,4,2676,1373.0,shao1,shao
矿,kuàng,mine/mineral/ore,石,8,4,1045,1385.0,kuang4,kuang
抬,tái,lift/carry,手,8,4,993,1386.0,tai2,tai
倍,bèi,times/fold/multiple times,人,10,4,1967,1392.0,bei4,bei
污,wū,filthy/dirty/impure/polluted,水,6,4,537,1405.0,wu1,wu
耐,nài,endure/bear/resist/patient,而,9,4,1456,1409.0,nai4,nai
粗,cū,rough/thick/course/rude,米,11,4,2403,1414.0,cu1,cu
悉,xī,know/learn about/comprehend,心,11,4,2351,1428.0,xi1,xi
详,xiáng,detailed/complete/thorough,言,8,4,1301,1439.0,xiang2,xiang
允,yǔn,to grant/to allow/to consent,儿,4,4,183,1443.0,yun3,yun
剩,shèng,leftovers/residue/remains,刀,12,4,2675,1446.0,sheng4,sheng
漫,màn,overflow of water/spreading,水,14,4,3164,1455.0,man4,man
酸,suān,tart/sour/acid/stiff/spoiled,酉,14,4,3089,1456.0,suan1,suan
辛,xīn,bitter/toilsome/laborious/8th heavenly stem,辛,7,4,841,1463.0,xin1,xin
餐,cān,eat/dine/meal/food,食,16,4,3341,1465.0,can1,can
挺,tǐng,to stand upright/straighten/rigid,手,9,4,1382,1467.0,ting3,ting
励,lì,strive/encourage,力,7,4,702,1468.0,li4,li
键,jiàn,door bolt/lock bolt/key,金,13,4,2943,1471.0,jian4,jian
扰,rǎo,disturb/annoy/agitate,手,7,4,618,1483.0,rao3,rao
阅,yuè,examine/inspect/review/read,門,10,4,2048,1489.0,yue4,yue
汗,hàn,perspiration/sweat,水,6,4,536,1490.0,han4,han
骗,piàn,swindle/cheat out of/defraud,馬,12,4,2821,1503.0,pian4,pian
龄,líng,age/years,齒,13,4,2893,1510.0,ling2,ling
惜,xī,pity/regret/rue/begrudge,心,11,4,2439,1512.0,xi1,xi
仔,zǐ,small thing/child/young animal,人,5,4,276,1572.0,zi3,zi
俩,liǎ,two/pair,人,9,4,1557,1574.0,lia3,lia
籍,jí,record/register/list/census,竹,20,4,3482,1579.0,ji2,ji
凉,liáng,cool/cold/disheartened,冫,10,4,2040,1581.0,liang2,liang
貌,mào,countenance/appearance,豸,14,4,3131,1595.0,mao4,mao
猜,cāi,guess/conjecture/suppose/feel,犬,11,4,2364,1598.0,cai1,cai
怜,lián,pity/sympathize,心,8,4,1270,1599.0,lian2,lian
躺,tǎng,lie down/recline,身,15,4,3270,1608.0,tang3,tang
钢,gāng,steel/hard/strong/tough,金,9,4,1529,1609.0,gang1,gang
寄,jì,send/transmit/mail/rely on,宀,11,4,2453,1611.0,ji4,ji
汤,tāng,hot water/soup/gravy/broth,水,6,4,542,1618.0,tang1,tang
肥,féi,fat/plump/obese/fertile,肉,8,4,1189,1620.0,fei2,fei
尝,cháng,taste/experience/experiment,小,9,4,1476,1621.0,chang2,chang
厌,yàn,dislike/detest/reject/satiate,厂,6,4,386,1633.0,yan4,yan
脏,zàng,internal organs/viscera/dirty,肉,10,4,1998,1634.0,zang1,zang
幽,yōu,quiet/secluded/tranquil/dark,幺,9,4,1524,1636.0,you1,you
丢,diū,discard,一,6,4,447,1639.0,diu1,diu
泉,quán,spring/fountain/wealth/money,水,9,4,1572,1641.0,quan2,quan
祝,zhù,pray for happiness or blessings,示,9,4,1712,1651.0,zhu4,zhu
陪,péi,accompany/be with/keep company,阜,10,4,2139,1664.0,pei2,pei
贺,hè,congratulate/send present,貝,9,4,1744,1690.0,he4,he
琴,qín,Chinese lute or guitar,玉,12,4,2501,1701.0,qin2,qin
恼,nǎo,angered/filled with hate,心,9,4,1691,1704.0,nao3,nao
敲,qiāo,strike/beat/pound/hammer/rap,攴,14,4,3140,1732.0,qiao1,qiao
暖,nuǎn,warm/genial,日,13,4,2906,1745.0,nuan3,nuan
糖,táng,sugar/candy/sweets,米,16,4,3374,1746.0,tang2,tang
擦,cā,wipe/scrub/rub/scour/brush,手,17,4,3389,1761.0,ca1,ca
肤,fū,skin/superficial/shallow,肉,8,4,1180,1790.0,fu1,fu
肚,dù,belly/abdomen/bowels,肉,7,4,805,1800.0,du4,du
赢,yíng,win/surplus/gain/profit,亠,17,4,3427,1836.0,ying2,ying
址,zhǐ,site/location/land for house,土,7,4,623,1848.0,zhi3,zhi
悔,huǐ,repent/show remorse/regret,心,10,4,2094,1853.0,hui3,hui
邀,yāo,invite/welcome/meet/intercept,辵,16,4,3362,1854.0,yao1,yao
羽,yǔ,feather/plume/wings/rad. 124,羽,6,4,585,1865.0,yu3,yu
盐,yán,salt,皿,10,4,1790,1885.0,yan2,yan
傅,fù,tutor/teacher/assist/surname,人,12,4,2691,1887.0,fu4,fu
帅,shuài,commander/commander-in-chief,巾,5,4,233,1888.0,shuai4,shuai
扔,rēng,throw/hurl/throw away/cast,手,5,4,203,1905.0,reng1,reng
傲,ào,proud/haughty/overbearing,人,12,4,2690,1960.0,ao4,ao
拾,shí,pick up/collect/tidy up/accounting form of the numeral ten,手,9,4,1386,1961.0,shi2,shi
填,tián,fill in/fill up/make good,土,13,4,2834,1970.0,tian2,tian
扮,bàn,dress up/dress up as,手,7,4,636,1974.0,ban4,ban
愉,yú,pleasant/delightful/please,心,12,4,2777,1982.0,yu2,yu
慕,mù,long for/desire/admire,心,14,4,3066,1990.0,mu4,mu
秒,miǎo,beard of grain or corn/a second,禾,9,4,1547,2028.0,miao3,miao
塑,sù,model in clay/sculpt/plastics,土,13,4,3001,2038.0,su4,su
羞,xiū,disgrace/shame/ashamed/shy,羊,10,4,2049,2048.0,xiu1,xiu
盒,hé,small box or case/casket,皿,11,4,2348,2067.0,he2,he
棵,kē,numerary adjunct for trees,木,12,4,2571,2108.0,ke1,ke
谅,liàng,excuse/forgive/guess/presume,言,10,4,2125,2120.0,liang4,liang
葡,pú,grapes,艸,12,4,2552,2130.0,pu2,pu
厨,chú,kitchen/closet/cupboard,厂,12,4,2587,2132.0,chu2,chu
鸭,yā,duck/Anas species (various),鳥,10,4,1892,2133.0,ya1,ya
谊,yì,friendship/appropriate/suitable,言,10,4,2128,2136.0,yi2,yi
歉,qiàn,deficient/lacking/insufficient,欠,14,4,3155,2149.0,qian4,qian
赚,zhuàn,make money/earn/gain/profit,貝,14,4,3112,2182.0,zhuan4,zhuan
萄,táo,grapes,艸,11,4,2208,2210.0,tao2,tao
脾,pí,spleen/pancreas/disposition,肉,12,4,2713,2223.0,pi2,pi
懒,lǎn,lazy/languid/listless,心,16,4,3380,2230.0,lan3,lan
骄,jiāo,spirited horse/haughty,馬,9,4,1756,2248.0,jiao1,jiao
聘,pìn,engage/employ/betroth,耳,13,4,2845,2253.0,pin4,pin
巾,jīn,kerchief/towel/turban/KangXi radical number 50,巾,3,4,40,2281.0,jin1,jin
堵,dǔ,wall/stop/prevent/stop up,土,11,4,2161,2284.0,du3,du
棒,bàng,stick/club/truncheon/hit,木,12,4,2562,2288.0,bang4,bang
硕,shuò,great/eminent/large/big,石,11,4,2241,2304.0,shuo4,shuo
戚,qī,relative/be related to/sad,戈,11,4,2239,2316.0,qi1,qi
笨,bèn,foolish/stupid/dull/awkward,竹,11,4,2317,2323.0,ben4,ben
泼,pō,pour/splash/water/sprinkle,水,8,4,1262,2327.0,po1,po
郊,jiāo,suburbs/waste land/open spaces,邑,8,4,1218,2351.0,jiao1,jiao
饼,bǐng,rice-cakes/biscuits,食,9,4,1614,2359.0,bing3,bing
咳,hāi,cough,口,9,4,1513,2373.0,ke2,ke
桶,tǒng,pail/bucket/tub/cask/keg,木,11,4,2230,2411.0,tong3,tong
辣,là,peppery/pungent/hot/cruel,辛,14,4,3148,2420.0,la4,la
膊,bó,shoulders/upper arms,肉,14,4,3133,2440.0,bo2,bo
趟,tàng,time/occasion/take journey,走,15,4,3195,2457.0,tang4,tang
匙,shi,spoon/surname,匕,11,4,2259,2476.0,chi2,chi
钥,yào,key/lock,金,9,4,1531,2481.0,yao4,yao
胳,gē,armpit/arms,肉,10,4,1997,2490.0,ge1,ge
咸,xián,together/all/completely/united,口,9,4,1443,2525.0,xian2,xian
汁,zhī,juice/liquor/fluid/sap/gravy/sauce,水,5,4,308,2540.0,zhi1,zhi
垃,lā,garbage/refuse/waste,土,8,4,980,2628.0,la1,la
烤,kǎo,bake/roast/toast/cook,火,10,4,2057,2629.0,kao3,kao
圾,jī,garbage/rubbish/shaking/danger,土,6,4,362,2634.0,ji2,ji
逛,guàng,ramble/stroll/roam/wander,辵,10,4,2003,2642.0,guang4,guang
膏,gāo,grease/fat/paste/ointment,肉,14,4,3142,2673.0,gao1,gao
羡,xiàn,envy/admire/praise/covet,羊,12,4,2740,2732.0,xian4,xian
暑,shǔ,hot,日,12,4,2613,2743.0,shu3,shu
嗽,sòu,cough/gargle/clear throat,口,14,4,3103,2815.0,sou4,sou
橡,xiàng,chestnut oak/rubber tree/rubber,木,15,4,3216,2871.0,xiang4,xiang
厕,cè,mingle with/toilet/lavatory,厂,8,4,1047,2920.0,ce4,ce
袜,wà,socks/stockings,衣,10,4,2115,3045.0,wa4,wa
勺,sháo,spoon/ladle/unit of volume,勹,3,4,49,3275.0,shao2,shao
柿,shì,persimmon,木,9,4,1436,3355.0,shi4,shi
乒,pīng,used with pong for ping pong,丿,6,4,456,3447.0,ping1,ping
乓,pāng,used with ping for ping pong,丿,6,4,457,3502.0,pang1,pang
饺,jiǎo,stuffed dumplings,食,9,4,1613,3650.0,jiao3,jiao
军,jūn,army/military/soldiers/troops,車,6,5,552,102.0,jun1,jun
战,zhàn,war/fighting/battle,戈,9,5,1468,145.0,zhan4,zhan
政,zhèng,government/political affairs,攴,9,5,1376,150.0,zheng4,zheng
产,chǎn,give birth/bring forth/produce,立,6,5,522,159.0,chan3,chan
制,zhì,system/establish/overpower,刀,8,5,1121,163.0,zhi4,zhi
代,dài,replace/replacement (of person or generation)/era/generation,人,5,5,271,174.0,dai4,dai
立,lì,stand/let stand/establish/set,立,5,5,302,197.0,li4,li
义,yì,right conduct/righteousness,丿,3,5,57,208.0,yi4,yi
神,shén,spirit/god/supernatural being,示,9,5,1711,227.0,shen2,shen
德,dé,ethics/morality/virtue,彳,15,5,3272,256.0,de2,de
统,tǒng,govern/command/control/unite,糸,9,5,1765,264.0,tong3,tong
形,xíng,form/shape/appearance,彡,7,5,604,269.0,xing2,xing
治,zhì,govern/regulate/administer,水,8,5,1264,274.0,zhi4,zhi
达,dá,arrive at/reach/intelligent/smooth/slippery,辵,6,5,398,289.0,da2,da
强,qiáng,strong/powerful/energetic,弓,12,5,2802,292.0,qiang2,qiang
权,quán,power/right/authority,木,6,5,378,297.0,quan2,quan
王,wáng,king/ruler/royal/surname,玉,4,5,75,299.0,wang2,wang
设,shè,build/establish/display,言,6,5,560,302.0,she4,she
品,pǐn,article/product/commodity,口,9,5,1503,308.0,pin3,pin
类,lèi,class/group/kind/category,大,9,5,1646,311.0,lei4,lei
领,lǐng,neck/collar/lead/guide,頁,11,5,2354,329.0,ling3,ling
造,zào,construct/build/make/begin/prepare,辵,10,5,1940,354.0,zao4,zao
组,zǔ,class/section/department,糸,8,5,1338,358.0,zu3,zu
英,yīng,petal/flower/leaf/brave/a hero/England/English,艸,8,5,1006,371.0,ying1,ying
令,lìng,,人,5,5,282,378.0,ling4,ling
布,bù,cotton cloth/textiles/linen,巾,5,5,218,380.0,bu4,bu
未,wèi,not yet/8th terrestrial branch,木,5,5,192,385.0,wei4,wei
击,jī,strike/hit/beat/attack/fight,凵,5,5,195,395.0,ji2,ji
兵,bīng,soldier/troops,八,7,5,768,398.0,bing1,bing
团,tuán,sphere/ball/circle/mass/lump,囗,6,5,425,405.0,tuan2,tuan
集,jí,assemble/collect together,隹,12,5,2694,406.0,ji2,ji
华,huá,flowery/illustrious/Chinese,十,6,5,472,412.0,hua2,hua
石,shí,stone/rock/mineral/rad. 112,石,5,5,216,414.0,shi2,shi
府,fǔ,prefecture/prefect/government,广,8,5,1211,417.0,fu3,fu
似,shì,resemble/similar to/as if/seem,人,6,5,481,431.0,si4,si
官,guān,official/public servant,宀,8,5,1281,432.0,guan1,guan
器,qì,receptacle/vessel/instrument,口,16,5,3348,441.0,qi4,qi
称,chēng,call/name/brand/address/say,禾,10,5,1948,449.0,cheng1,cheng
企,qǐ,plan a project/stand on tiptoe,人,6,5,490,450.0,qi3,qi
委,wěi,appoint/send/commission,女,8,5,1133,457.0,wei3,wei
曾,céng,already/sign of past,曰,12,5,2747,463.0,ceng2,ceng
农,nóng,agriculture/farming/farmer,冖,6,5,558,465.0,nong2,nong
装,zhuāng,dress/clothes/attire/fill,衣,12,5,2726,467.0,zhuang1,zhuang
显,xiǎn,manifest/display/evident/clear,日,9,5,1485,469.0,xian3,xian
念,niàn,think of/recall/study,心,8,5,1177,477.0,nian4,nian
青,qīng,blue/green/black/young,青,8,5,947,497.0,qing1,qing
武,wǔ,military/martial/warlike,止,8,5,946,501.0,wu3,wu
势,shì,power/force/tendency,力,8,5,977,506.0,shi4,shi
古,gǔ,old/classic/ancient,口,5,5,208,509.0,gu3,gu
构,gòu,frame/building/structure,木,8,5,1029,511.0,gou1,gou
土,tǔ,soil/earth/items made of earth,土,3,5,27,515.0,tu3,tu
投,tóu,throw/cast/fling/pitch/jump,手,7,5,643,516.0,tou2,tou
某,mǒu,certain thing or person,木,9,5,1399,517.0,mou3,mou
维,wéi,maintain/preserve/safeguard,糸,11,5,2492,520.0,wei2,wei
革,gé,leather/animal hides/rad. 177,革,9,5,1403,521.0,ge2,ge
敌,dí,enemy/foe/rival/resist,舌,10,5,1942,523.0,di2,di
致,zhì,send/deliver/present/cause,至,10,5,1879,524.0,zhi4,zhi
派,pài,school of thought/sect/branch,水,9,5,1673,532.0,pai4,pai
营,yíng,encampment/barracks/manage,艸,11,5,2214,536.0,ying2,ying
