N/A,Pinyin,Definition,Radical,stroke_count,hsk_level,id_in_standard_specification,frequency_rank,converted_pinyin,raw_pinyin
试,shì,test/try/experiment,言,8,2,1286,643.0,shi4,shi
送,sòng,see off/send off/dispatch/give,辵,9,2,1645,656.0,song4,song
药,yào,leaf of Dahurian angelica plant/medicine,艸,9,2,1423,662.0,yao4,yao
游,yóu,to swim/float/drift/wander/roam,水,12,2,2766,695.0,you2,you
室,shì,room/home/house/chamber,宀,9,2,1697,708.0,shi4,shi
您,nín,,心,11,2,2331,726.0,nin2,nin
帮,bāng,help/assist/defend/shoe upper,巾,9,2,1356,769.0,bang1,bang
左,zuǒ,left/east/unorthodox/improper,工,5,2,214,782.0,zuo3,zuo
右,yòu,right/west/right-wing,口,5,2,217,783.0,you4,you
穿,chuān,penetrate/pierce/drill/wear,穴,9,2,1701,785.0,chuan1,chuan
哥,gē,elder brother,口,10,2,1852,804.0,ge1,ge
弟,dì,young brother/junior/i/me,弓,7,2,854,816.0,di4,di
慢,màn,slow(ly)/leisurely/sluggish,心,14,2,3169,822.0,man4,man
忙,máng,busy/pressed for time/hustling,心,6,2,543,827.0,mang2,mang
介,jiè,forerunner/herald/harbinger/to lie between/sea shell/to wear armor,人,4,2,140,831.0,jie4,jie
鱼,yú,fish/surname/KangXi radical 195,魚,8,2,1194,852.0,yu2,yu
跑,pǎo,run/flee/leave in hurry,足,12,2,2631,864.0,pao3,pao
贵,guì,expensive/costly/valuable,貝,9,2,1495,873.0,gui4,gui
班,bān,class/group/grade/squad/job,玉,10,2,1774,884.0,ban1,ban
票,piào,slip of paper or bamboo/ticket,示,11,2,2235,910.0,piao4,piao
睛,jīng,eyeball/pupil of eye,目,13,2,2895,934.0,jing1,jing
旅,lǚ,trip/journey/travel/traveler,方,10,2,2046,950.0,lv3,lu
笔,bǐ,writing brush/write/stroke,竹,10,2,1951,956.0,bi3,bi
卖,mài,sell/betray/show off,十,8,2,1042,974.0,mai4,mai
旁,páng,side/by side/close by/near,方,10,2,2045,981.0,pang2,pang
阴,yīn,,阜,6,2,575,987.0,yin1,yin
跳,tiào,jump/leap/vault/bounce/dance,足,13,2,2915,999.0,tiao4,tiao
雪,xuě,snow/wipe away shame/avenge,雨,11,2,2249,1003.0,xue3,xue
肉,ròu,flesh/meat/KangXi radical 130,肉,6,2,443,1009.0,rou4,rou
馆,guǎn,public building,食,11,2,2373,1011.0,guan3,guan
牛,niú,cow/ox/bull/KangXi radical93,牛,4,2,120,1018.0,niu2,niu
纸,zhǐ,paper,糸,7,2,938,1020.0,zhi3,zhi
歌,gē,song/lyrics/sing/chant/praise,欠,14,2,3084,1040.0,ge1,ge
床,chuáng,bed/couch/framework/chassis,广,7,2,831,1068.0,chuang2,chuang
玩,wán,play with/joke/enjoy,玉,8,2,944,1072.0,wan2,wan
妻,qī,wife,女,8,2,1056,1076.0,qi1,qi
休,xiū,rest/stop/retire/do not!,人,6,2,458,1082.0,xiu1,xiu
舞,wǔ,dance/posture/prance/brandish,舛,14,2,3116,1144.0,wu3,wu
姓,xìng,,女,8,2,1327,1149.0,xing4,xing
妹,mèi,younger sister,女,8,2,1324,1185.0,mei4,mei
汽,qì,steam/vapor/gas,水,7,2,861,1200.0,qi4,qi
课,kè,lesson/course/classwork,言,10,2,2120,1208.0,ke4,ke
懂,dǒng,understand/comprehend,心,15,2,3300,1211.0,dong3,dong
绍,shào,continue/carry on/join,糸,8,2,1348,1234.0,shao4,shao
丈,zhàng,unit of length equal 3.3 meters/gentleman/man/husband,一,3,2,33,1242.0,zhang4,zhang
洗,xǐ,wash/rinse/clean/purify,水,9,2,1671,1247.0,xi3,xi
唱,chàng,sing/chant/call/ditty/song,口,11,2,2284,1252.0,chang4,chang
奶,nǎi,,女,5,2,332,1278.0,nai3,nai
宜,yí,suitable/right/fitting/proper,宀,8,2,1278,1290.0,yi2,yi
累,lèi,tired/implicate/involve/bother,糸,11,2,2282,1323.0,lei4,lei
羊,yáng,sheep/goat/KangXi radical 123,羊,6,2,530,1337.0,yang2,yang
零,líng,zero/fragment/fraction,雨,13,2,2885,1342.0,ling2,ling
蛋,dàn,eggs/term of abuse,虫,11,2,2477,1387.0,dan4,dan
鸡,jī,chicken,鳥,7,2,928,1391.0,ji1,ji
宾,bīn,guest/visitor/surname/submit,宀,10,2,2102,1534.0,bin1,bin
颜,yán,face/facial appearance,頁,15,2,3285,1545.0,yan2,yan
瓜,guā,melon/gourd/cucumber/rad. 97,瓜,5,2,279,1827.0,gua1,gua
晴,qíng,clear weather/fine weather,日,12,2,2611,1968.0,qing2,qing
啡,fēi,morphine/coffee,口,11,2,2272,2326.0,fei1,pei
篮,lán,basket,竹,16,2,3357,2357.0,lan2,lan
咖,kā,coffee/a phonetic,口,8,2,1104,2379.0,ka1,ka
踢,tī,kick,足,15,2,3241,2444.0,ti1,ti
泳,yǒng,dive/swim,水,8,2,1257,2607.0,yong3,yong
铅,qiān,lead,金,10,2,1934,2641.0,qian1,qian
地,de,earth/soil/ground/region,土,6,3,366,21.0,di4,di
而,ér,and/and then/and yet/but,而,6,3,392,36.0,er2,er
于,yú,in/on/at/go to/surname,二,3,3,24,40.0,yu2,yu
自,zì,self/private/personal/from,自,6,3,477,43.0,zi4,zi
发,fā,issue/dispatch/send out/hair,又,5,3,339,47.0,fa1,fa
用,yòng,use/employ/apply/operate/use,用,5,3,283,51.0,yong4,yong
行,xíng,go/walk/move/travel/circulate,行,6,3,483,53.0,xing2,xing
种,zhǒng,seed/race/breed/to plant,禾,9,3,1549,57.0,zhong3,chong
成,chéng,completed/finished/fixed,戈,6,3,401,59.0,cheng2,cheng
方,fāng,a square/rectangle/a region/local,方,4,3,163,60.0,fang1,fang
法,fǎ,law/rule/regulation/statute/France/French,水,8,3,1241,65.0,fa3,fa
如,rú,if/supposing/as if/like/as,女,6,3,578,67.0,ru2,ru
当,dāng,bear/accept/undertake/just,小,6,3,418,71.0,dang1,dang
定,dìng,decide/settle/fix,宀,8,3,1276,77.0,ding4,ding
其,qí,his/her/its/their/that,八,8,3,996,85.0,qi2,qi
主,zhǔ,master/chief owner/host/lord,丶,5,3,300,87.0,zhu3,zhu
理,lǐ,reason/logic/manage,玉,11,3,2157,89.0,li3,li
心,xīn,heart/mind/intelligence/soul,心,4,3,174,90.0,xin1,xin
只,zhǐ,only/just/simply,口,5,3,246,97.0,zhi3,zhi
实,shí,real/true/honest/sincere,宀,8,3,1285,100.0,shi2,shi
者,zhě,that which/he who/those who,老,8,3,969,103.0,zhe3,zhe
力,lì,power/capability/influence,力,2,3,19,106.0,li4,li
把,bǎ,hold/take/guard/regard as,手,7,3,655,110.0,ba3,ba
又,yòu,and/also/again/in addition,又,2,3,21,126.0,you4,you
业,yè,profession/business/GB radical 111,一,5,3,231,130.0,ye4,ye
重,zhòng,heavy/weighty/double,里,9,3,1552,140.0,zhong4,zhong
物,wù,thing/substance/creature,牛,8,3,1127,142.0,wu4,wu
应,yīng,should/ought to/must,广,7,3,836,144.0,ying4,ying
向,xiàng,toward/direction/trend,口,6,3,480,146.0,xiang4,xiang
头,tóu,head/top/chief/first/boss,大,5,3,310,147.0,tou2,tou
文,wén,literature/culture/writing,文,4,3,161,148.0,wen2,wen
相,xiāng,mutual/reciprocal/each other,目,9,3,1430,152.0,xiang1,xiang
被,bèi,,衣,10,3,2118,154.0,bei4,bei
或,huò,or/either/else/perhaps/maybe,戈,8,3,1035,160.0,huo4,huo
己,jǐ,self/oneself/personal/private/6th heavenly stem,己,3,3,60,162.0,ji3,ji
加,jiā,add to/increase/augment,力,5,3,335,166.0,jia1,jia
特,tè,special/unique/distinguished,牛,10,3,1938,173.0,te4,te
信,xìn,trust/believe/letter,人,9,3,1570,176.0,xin4,xin
化,huà,change/convert/reform/-ize,匕,4,3,132,178.0,hua4,hua
世,shì,generation/world/era,一,5,3,206,181.0,shi4,shi
位,wèi,throne/position/post/rank/status/seat,人,7,3,784,182.0,wei4,wei
声,shēng,sound/voice/noise/tone/music,士,7,3,654,195.0,sheng1,sheng
提,tí,hold in hand/lift in hand,手,12,3,2520,196.0,ti2,ti
解,jiě,loosen/unfasten/untie/explain,角,13,3,2981,201.0,jie3,jie
口,kǒu,mouth/open end/entrance/gate,口,3,3,38,212.0,kou3,kou
平,píng,flat/level/even/peaceful,干,5,3,222,215.0,ping2,ping
更,gèng,more/still further/much more,曰,7,3,693,221.0,geng4,geng
变,biàn,change/transform/alter/rebel,又,8,3,1204,225.0,bian4,bian
总,zǒng,collect/overall/altogether,八,9,3,1654,228.0,zong3,zong
数,shù,number/several/count/fate,攴,13,3,2999,231.0,shu4,shu
安,ān,peaceful/tranquil/quiet,宀,6,3,549,232.0,an1,an
才,cái,talent/ability/just/only,手,3,3,29,235.0,cai2,cai
